"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1737568800000","22.7","328508","-0.1999999999999993","-0.8733624454148442","0.7481","366","22.9","23.1","22.6"
"1737482400000","22.9","511156","-0.10000000000000142","-0.4347826086956583","1.1863","567","23","23.5","22.8"
"1737396000000","23","706758","-0.1999999999999993","-0.8620689655172384","1.6401","578","23.6","23.7","23"
"1737309600000","23.2","561194","0.6999999999999993","3.111111111111108","1.2872999999999999","544","22.5","23.5","22.5"
"1737223200000","22.5","310425","0.10000000000000142","0.44642857142857784","0.6979","286","22.4","22.7","22.3"
"1736964000000","22.4","280508","-0.40000000000000213","-1.75438596491229","0.6348","364","22.9","23","22.3"
"1736877600000","22.8","592911","-0.5999999999999979","-2.564102564102555","1.3714","656","23.3","23.6","22.7"
"1736791200000","23.4","321405","-0.10000000000000142","-0.4255319148936231","0.7577","322","23.4","23.9","23.3"
"1736704800000","23.5","441419","-0.1999999999999993","-0.8438818565400814","1.0361","457","23.7","23.8","23.3"
"1736618400000","23.7","433539","-0.40000000000000213","-1.659751037344407","1.0358","352","24.1","24.2","23.5"
"1736359200000","24.1","398727","0.10000000000000142","0.41666666666667257","0.9632999999999999","352","24.2","24.4","24"
"1736272800000","24","492074","-0.10000000000000142","-0.4149377593361055","1.1797","389","24","24.2","23.8"
"1736186400000","24.1","347847","-0.3999999999999986","-1.632653061224484","0.8452999999999999","398","24.4","24.8","24"
"1736100000000","24.5","508006","0.3999999999999986","1.6597510373443924","1.241","524","24.2","24.7","24"
"1736013600000","24.1","156498","-0.09999999999999787","-0.41322314049585895","0.37429999999999997","251","24.2","24.2","23.6"
"1735754400000","24.2","176763","-0.1999999999999993","-0.8196721311475381","0.4276","206","24.4","24.5","24"
"1735668000000","24.4","191391","0","0","0.46769999999999995","197","24.6","24.7","24.3"
"1735495200000","24.4","297282","-0.20000000000000284","-0.8130081300813123","0.7274","237","24.9","24.9","24.3"
"1735408800000","24.6","187032","0.10000000000000142","0.40816326530612823","0.46230000000000004","201","24.6","24.9","24.6"
"1735149600000","24.5","282188","0","0","0.6935","290","24.6","24.8","24.3"
"1734976800000","24.5","357678","-0.1999999999999993","-0.8097165991902806","0.8764","371","24.8","24.8","24.2"
"1734890400000","24.7","212659","0.1999999999999993","0.816326530612242","0.5244","287","24.5","24.9","24.5"
"1734804000000","24.5","321616","-0.3999999999999986","-1.6064257028112392","0.7934","403","24.9","25.1","24.4"
"1734544800000","24.9","326960","-0.40000000000000213","-1.581027667984198","0.8162","285","25.3","25.3","24.7"
"1734458400000","25.3","543615","-0.1999999999999993","-0.7843137254901933","1.3829","417","25.5","25.7","25.1"
"1734372000000","25.5","660901","0.3000000000000007","1.1904761904761934","1.6896999999999998","558","25.4","26.1","25.2"
"1734199200000","25.2","339193","0.3000000000000007","1.2048192771084365","0.8521000000000001","364","25","25.3","24.8"
"1733940000000","24.9","371211","0.1999999999999993","0.8097165991902806","0.9265000000000001","388","24.7","25.4","24.6"
"1733853600000","24.7","453230","-0.3000000000000007","-1.2000000000000028","1.1305999999999998","437","25.3","25.3","24.5"
"1733767200000","25","559507","-0.6000000000000014","-2.3437500000000053","1.418","533","25.8","25.9","24.7"
"1733680800000","25.6","628184","-0.09999999999999787","-0.3891050583657505","1.6242","615","26","26.3","25.5"
"1733594400000","25.7","701162","0.09999999999999787","0.3906249999999917","1.7815","520","25.2","25.9","24.9"
"1733335200000","25.6","620271","-0.8999999999999986","-3.396226415094334","1.6131","610","26.5","26.6","25.5"
"1733248800000","26.5","3517964","-0.1999999999999993","-0.7490636704119823","9.4535","1962","26.5","27.7","26.1"
"1733076000000","26.7","2242793","0.3000000000000007","1.1363636363636391","5.9686","1539","26.5","26.8","26.4"
"1732989600000","26.4","1003216","0.6999999999999993","2.7237354085603087","2.6134","808","25.7","26.5","25.3"
"1732730400000","25.7","1595542","0","0","4.1385","1102","25.8","26.4","25.6"
"1732644000000","25.7","968397","1.0999999999999979","4.471544715447146","2.4653","862","24.9","25.8","24.8"
"1732557600000","24.6","713280","-0.09999999999999787","-0.40485829959513314","1.7668","551","24.9","25.1","24.5"
"1732471200000","24.7","314808","0.1999999999999993","0.816326530612242","0.7784","358","24.5","25","24.5"
"1732384800000","24.5","531240","0.6000000000000014","2.510460251046031","1.3042","628","23.9","25.2","23.8"
"1732125600000","23.9","489494","-0.6000000000000014","-2.4489795918367405","1.182","486","24.7","24.7","23.8"
"1732039200000","24.5","325278","-0.10000000000000142","-0.40650406504065617","0.8003","447","24.8","24.9","24.4"
"1731952800000","24.6","887471","-0.3999999999999986","-1.5999999999999945","2.1965","766","25","25.1","24.5"
"1731866400000","25","867141","-0.5","-1.9607843137254901","2.2079","772","25.7","26","24.9"
"1731780000000","25.5","1196056","0.6999999999999993","2.8225806451612874","2.9905","1129","24.9","25.7","24.4"
"1731520800000","24.8","781075","0.9000000000000021","3.765690376569047","1.9309","757","24.1","25","24"
"1731434400000","23.9","1268575","-0.8000000000000007","-3.2388663967611366","3.0396","1155","24.5","24.5","23.7"
"1731348000000","24.7","652347","-0.6000000000000014","-2.37154150197629","1.6358000000000001","710","25.6","25.6","24.6"
"1731261600000","25.3","623107","0.10000000000000142","0.39682539682540247","1.5718","634","25.6","25.6","25"
